2019-03-22 11:16:15.471 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:16:15.503 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 32 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:16:15.503 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:16:15.534 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:17:11.799 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:17:12.190 [main] INFO  org.reflections.Reflections - Reflections took 281 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:17:12.924 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:17:13.143 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:17:16.723 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 11:17:16.723 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:17:16.754 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:17:16.754 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:17:16.785 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:17:22.873 [Tcom.secondhand.tradingplatformgeccocontroller0] INFO  org.apache.http.impl.execchain.RetryExec - I/O exception (java.net.SocketTimeoutException) caught when processing request to {s}->https://item.jd.com:443: Read timed out
2019-03-22 11:17:22.874 [Tcom.secondhand.tradingplatformgeccocontroller0] INFO  org.apache.http.impl.execchain.RetryExec - Retrying request to {s}->https://item.jd.com:443
2019-03-22 11:18:13.047 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:18:13.375 [main] INFO  org.reflections.Reflections - Reflections took 265 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:18:14.032 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:18:14.282 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:18:19.175 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 11:18:19.175 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:18:19.207 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 32 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:18:19.207 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:18:19.222 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:18:21.943 [Tcom.secondhand.tradingplatformgeccocontroller2] INFO  org.apache.http.impl.execchain.RetryExec - I/O exception (org.apache.http.conn.ConnectTimeoutException) caught when processing request to {s}->https://item.jd.com:443: Connect to item.jd.com:443 [item.jd.com/112.91.125.129] failed: connect timed out
2019-03-22 11:18:21.944 [Tcom.secondhand.tradingplatformgeccocontroller2] INFO  org.apache.http.impl.execchain.RetryExec - Retrying request to {s}->https://item.jd.com:443
2019-03-22 11:18:22.737 [Tcom.secondhand.tradingplatformgeccocontroller0] INFO  org.apache.http.impl.execchain.RetryExec - I/O exception (org.apache.http.conn.ConnectTimeoutException) caught when processing request to {s}->https://item.jd.com:443: Connect to item.jd.com:443 [item.jd.com/112.91.125.129] failed: connect timed out
2019-03-22 11:18:22.737 [Tcom.secondhand.tradingplatformgeccocontroller0] INFO  org.apache.http.impl.execchain.RetryExec - Retrying request to {s}->https://item.jd.com:443
2019-03-22 11:18:25.906 [Tcom.secondhand.tradingplatformgeccocontroller2] INFO  org.apache.http.impl.execchain.RetryExec - I/O exception (org.apache.http.conn.ConnectTimeoutException) caught when processing request to {s}->https://item.jd.com:443: Connect to item.jd.com:443 [item.jd.com/112.91.125.129] failed: connect timed out
2019-03-22 11:18:25.906 [Tcom.secondhand.tradingplatformgeccocontroller2] INFO  org.apache.http.impl.execchain.RetryExec - Retrying request to {s}->https://item.jd.com:443
2019-03-22 11:19:03.606 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:19:03.949 [main] INFO  org.reflections.Reflections - Reflections took 265 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:19:04.621 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:19:04.824 [main] INFO  org.reflections.Reflections - Reflections took 47 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:19:07.441 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 11:19:07.441 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:19:07.472 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:19:07.472 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:19:07.488 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:19:31.423 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:19:31.782 [main] INFO  org.reflections.Reflections - Reflections took 297 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:19:32.734 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:19:32.953 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:19:35.315 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 11:19:35.315 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:19:35.346 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:19:35.346 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:19:35.377 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:23:43.214 [main] INFO  org.reflections.Reflections - Reflections took 188 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:23:44.236 [main] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
2019-03-22 11:23:44.298 [Spider-0] INFO  com.geccocrawler.gecco.downloader.Proxys - proxys not load
2019-03-22 11:23:44.408 [main] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:23:46.985 [main] INFO  com.geccocrawler.gecco.GeccoEngine - close gecco!
2019-03-22 11:23:47.001 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 2 urls, producing 37 keys and 144 values 
2019-03-22 11:23:47.001 [GeccoEngine] INFO  com.geccocrawler.gecco.GeccoEngine - starts.json not found
